integrantes,vinculacion,horas_dedicacion,url,grupo,inicio_vinculacion,fin_vinculacion,posgrade,clasification,articulos,capitulos,libros,softwares,innovaciones,trabajos_dirigidos
CLAUDIA PATRICIA FLOREZ FLOREZ,Integrante,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000617725,3,2010-01-01, Actual,Maestría/Magister,Sin clasificar,5,0,0,0,0,0
DIEGO SUESCUN CARVAJAL,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001612363,3,2013-01-01, Actual,Maestría/Magister,Sin clasificar,2,1,0,0,0,28
JEINER CASTELLANOS BARLIZA,Integrante,8; 0; 4; 8; 0; 4; 8; 0; 4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000626333,3; 215; 465,2010-01-01; 2011-01-01; 2012-08-01, Actual,Doctorado,Investigador Junior (IJ),7; 0; 4,2; 0; 1,1; 0; 2,0; 0; 0,0; 0; 0,6; 0; 3
JORGE ALEJANDRO PELAEZ SILVA,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000535559,3,2013-01-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
LAURA ISABEL ARANGO CARVAJAL,Integrante,3,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001726142,3,2019-09-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
LEIDY CAROLINA GARCIA CORREA,Integrante,6; 20; 6; 20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000021550,3; 215,2016-01-01; 2012-01-01, Actual,Pregrado/Universitario,Sin clasificar,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0
MARIA ALEJANDRA FAJARDO MEJIA,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001417087,3,2013-01-01, Actual,Maestría/Magister,Sin clasificar,4,0,0,0,0,0
MARIA ISABEL HIGUITA AGUIRRE,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000180901,3,2017-02-01, Actual,Pregrado/Universitario,Sin clasificar,1,0,0,0,0,0
NELSON WALTER OSORIO VEGA,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000178616,3,2013-01-01, Actual,Doctorado,Investigador Senior (IS),13,3,0,0,0,3
ORLANDO RICARDO BLANCO RODRIGUEZ,Integrante,8; 0; 8; 8; 0; 8; 8; 0; 8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001387379,3; 215; 465,2017-01-01; 2012-02-01; 2015-01-01, Actual,Maestría/Magister,Sin clasificar,0; 1; 0,0; 2; 0,0; 0; 0,0; 0; 0,0; 0; 0,0; 0; 0
